year,entity,gdp_per_capita,life_satisfaction
2005,Japan,37489.85337,6.516
2007,Japan,38582.32219,6.238
2008,Japan,38141.93397,5.911
2009,Japan,36080.51723,5.845
2010,Japan,37586.16715,6.057
2011,Japan,37612.38831,6.263
2012,Japan,38235.74504,5.968
2013,Japan,39056.86981,5.959
2014,Japan,39255.27845,5.923
2015,Japan,39777.53102,5.88
2016,Japan,40031.27076,5.955
2017,Japan,40966.59322,5.911
2018,Japan,41182.3802,5.794
