Entity,Year,Deaths,GDP_per_capita,population
Australia,2000,3.4640701634318063,26321.4464495089,18991434
Australia,2001,3.5876676711459514,27373.459715943,19194676
Australia,2002,3.5787870487271065,28718.241079556,19401366
Australia,2003,3.6735135171354707,29734.7208766173,19624163
Australia,2004,3.767925003255597,31308.2105242907,19879654
Australia,2005,3.815637892300859,32575.0692539649,20178543
Australia,2006,3.7052783133624487,34288.8636875396,20526300
Australia,2007,3.4358743046883036,36544.8859750628,20916339
Australia,2008,3.249790198633745,37459.307649507,21332293
Australia,2009,3.093268843806421,40300.7555477896,21750852
Australia,2010,2.955120316666031,39301.3411198761,22154687
Australia,2011,2.66917214059363,41965.3584189919,22538002
Australia,2012,2.3993273857073536,42826.789579996,22903951
Australia,2013,2.473743534171425,45902.047948361,23254912
Australia,2014,2.305543921720537,46880.2206571585,23596426
Australia,2015,2.3622830319315433,46288.3344786414,23932499
Australia,2016,2.3102034070263464,47339.969213264,24262710
Australia,2017,2.2719800184621555,48482.6474614392,24584619
Canada,2000,2.72763678822467,29362.9452451183,30588379
Canada,2001,2.864513840879704,30214.092507567,30880072
Canada,2002,2.8824844182631004,30963.0530022941,31178260
Canada,2003,2.828468004654437,32333.482974789,31488046
Canada,2004,2.787194328846874,33911.0436805378,31815490
Canada,2005,2.841762417926275,36327.2286544972,32164313
Canada,2006,2.7147299485340826,38106.3566318206,32536994
Canada,2007,2.7872315397901772,39555.5009794104,32930795
Canada,2008,2.634794743673938,40376.3068799056,33337638
Canada,2009,2.4551460008286594,38893.7205280568,33746093
Canada,2010,2.3715322306971998,40114.1895852364,34147566
Canada,2011,2.178849193604087,41666.7076267956,34539156
Canada,2012,2.282874174630062,42290.9654102745,34922031
Canada,2013,2.5121567185044653,44298.5787342765,35296535
Canada,2014,2.4065064630357953,45753.7505547994,35664338
Canada,2015,2.437582288048958,44670.0805385838,36026668
Canada,2016,2.4205173938915108,46472.3402486315,36382942
Canada,2017,2.348439485356145,48317.0965785817,36732091
China,2000,179.1177201404645,2920.56079076815,1290550767
China,2001,162.35603106121093,3210.00939572914,1299129747
China,2002,146.6319765010031,3534.84912978684,1307352256
China,2003,129.94310109106942,3937.31287532441,1315303522
China,2004,115.8466345460171,4425.87419106099,1323084639
China,2005,102.34202473225261,5053.94579810189,1330776380
China,2006,90.98045474821176,5836.57343667871,1338408644
China,2007,81.3042301917741,6810.60390010026,1345993891
China,2008,73.75554748555105,7574.22445504338,1353569480
China,2009,66.08631418532038,8307.84951896429,1361169410
China,2010,59.96969968319881,9253.76518771214,1368810604
China,2011,54.76923611460623,10299.8706939935,1376497633
China,2012,49.70906228228076,11197.5969363537,1384206408
China,2013,44.596307229807046,11923.7526189386,1391883335
China,2014,40.83733982158422,12549.7718312977,1399453966
China,2015,36.876011154152636,12978.7689105655,1406847868
China,2016,31.52224048912368,13572.6199886994,1414049353
China,2017,26.32473859408355,14344.4212394424,1421021794
Japan,2000,5.145551701107271,26838.6913604846,127524168
Japan,2001,4.711558304102234,27472.5471191491,127713824
Japan,2002,4.606001249945642,28160.1076146939,127893075
Japan,2003,4.478118457516241,28924.6821605164,128058368
Japan,2004,4.268808206632379,30348.0417430518,128204183
Japan,2005,4.310725138824495,31663.4530989772,128326115
Japan,2006,4.267216480765233,33090.1962558485,128422740
Japan,2007,4.20148182303031,34501.5090143849,128494050
Japan,2008,4.1894678871082425,34798.7658977271,128538644
Japan,2009,3.8767454926259197,33198.6164013794,128555196
Japan,2010,3.811476301954095,34986.9945402402,128542349
