year,entity,gdp_per_capita,life_satisfaction
2005,Italy,44260.82742,6.854
2007,Italy,45356.53672,6.574
2008,Italy,44623.60202,6.78
2009,Italy,42074.92125,6.334
2010,Italy,42664.35527,6.354
2011,Italy,42892.30556,6.057
2012,Italy,41501.71123,5.839
2013,Italy,40268.11279,6.009
2014,Italy,39898.52646,6.027
2015,Italy,40247.82904,5.848
2016,Italy,40837.73763,5.955
2017,Italy,41581.12079,6.199
2018,Italy,42052.55638,6.517
2019,Italy,42662.52237,6.445
2020,Italy,38992.14838,6.488
